Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable
?a  owner  ?b   ,?a  breeder  ?b,0.524590164,0.053511706,0.761904762,64,1196,84,?a
?e  isPartOfWineRegion  ?a  ?e  varietals  ?b   ,?a  growingGrape  ?b,0.098644578,0.671794872,0.761627907,131,195,172,?a
?a  birthPlace  ?b  ?a  nationality  ?b   ,?a  residence  ?b,0.039433771,0.149044586,0.75974026,117,785,154,?a
?b  president  ?a  ?a  successor  ?b   ,?a  primeMinister  ?b,0.031032299,0.372623574,0.759689922,98,263,129,?a
?e  subregion  ?b  ?a  subregion  ?e   ,?a  subregion  ?b,0.362831858,0.759259259,0.759259259,41,54,54,?b
?e  nationality  ?b  ?e  relative  ?a   ,?a  stateOfOrigin  ?b,0.021297193,0.20754717,0.75862069,22,106,29,?a
?e  relative  ?a  ?e  stateOfOrigin  ?b   ,?a  stateOfOrigin  ?b,0.021297193,0.229166667,0.75862069,22,96,29,?a
?e  distributor  ?b  ?e  subsequentWork  ?a   ,?a  distributor  ?b,0.096900917,0.637931034,0.757679181,222,348,293,?a
?a  creator  ?b  ?b  notableWork  ?a   ,?a  executiveProducer  ?b,0.013354701,0.390625,0.757575758,25,64,33,?a
?a  predecessor  ?f  ?f  sisterStation  ?b   ,?a  sisterStation  ?b,0.021332069,0.756302521,0.756302521,90,119,119,?b
?f  album  ?b  ?a  subsequentWork  ?f   ,?a  album  ?b,0.138138138,0.484210526,0.754098361,46,95,61,?a
?f  nationality  ?b  ?a  primeMinister  ?f   ,?a  nationality  ?b,0.039059914,0.328690808,0.751592357,118,359,157,?a
?a  stateOfOrigin  ?b   ,?a  citizenship  ?b,0.088815789,0.026137464,0.75,27,1033,36,?a
?b  taoiseach  ?a   ,?a  deputy  ?b,0.014018692,0.111111111,0.75,6,54,8,?b
?e  magazine  ?a  ?e  publisher  ?b   ,?a  publisher  ?b,0.016129032,0.75,0.75,3,4,4,?a
?a  child  ?f  ?f  ethnicity  ?b   ,?a  ethnicity  ?b,0.01369863,0.15,0.75,3,20,4,?a
?e  isPartOf  ?a  ?e  operator  ?b   ,?a  operator  ?b,0.013157895,0.075,0.75,3,40,4,?a
?a  birthPlace  ?b  ?a  nationality  ?b   ,?a  citizenship  ?b,0.049342105,0.01910828,0.75,15,785,20,?a
?f  country  ?b  ?a  restingPlace  ?f   ,?a  citizenship  ?b,0.029605263,0.016483516,0.75,9,546,12,?a
?a  director  ?b  ?a  starring  ?b   ,?a  narrator  ?b,0.016042781,0.042857143,0.75,3,70,4,?a
?e  narrator  ?b  ?e  subsequentWork  ?a   ,?a  narrator  ?b,0.016042781,0.15,0.75,3,20,4,?a
?a  associate  ?f  ?f  otherParty  ?b   ,?a  otherParty  ?b,0.016438356,0.352941176,0.75,6,17,8,?a
?e  associate  ?a  ?e  otherParty  ?b   ,?a  otherParty  ?b,0.016438356,0.375,0.75,6,16,8,?a
?f  knownFor  ?b  ?a  voice  ?f   ,?a  series  ?b,0.027777778,0.043478261,0.75,9,207,12,?a
?b  largestCity  ?f  ?a  sourceMountain  ?f   ,?a  sourceRegion  ?b,0.021276596,0.3,0.75,3,10,4,?a
?b  largestCity  ?f  ?a  sourcePlace  ?f   ,?a  sourceRegion  ?b,0.021276596,0.3,0.75,3,10,4,?a
?f  jurisdiction  ?b  ?a  successor  ?f   ,?a  jurisdiction  ?b,0.027777778,0.75,0.75,3,4,4,?a
?e  jurisdiction  ?b  ?e  successor  ?a   ,?a  jurisdiction  ?b,0.027777778,0.5,0.75,3,6,4,?a
?e  internationalAffiliation  ?b  ?e  mergedIntoParty  ?a   ,?a  internationalAffiliation  ?b,0.018518519,0.6,0.75,6,10,8,?a
?a  creator  ?b  ?a  director  ?b   ,?a  developer  ?b,0.013824885,0.068181818,0.75,6,88,8,?a
?f  broadcastNetwork  ?b  ?a  formerBroadcastNetwork  ?f   ,?a  formerBroadcastNetwork  ?b,0.023255814,0.75,0.75,3,4,4,?a
?e  city  ?a  ?e  state  ?b   ,?a  federalState  ?b,0.069230769,0.006741573,0.75,9,1335,12,?a
?a  class  ?f  ?f  phylum  ?b   ,?a  division  ?b,0.025495751,0.045226131,0.75,18,398,24,?a
?e  keyPerson  ?a  ?e  locationCountry  ?b   ,?a  stateOfOrigin  ?b,0.011616651,0.06185567,0.75,12,194,16,?a
?e  isPartOf  ?a  ?e  politicalPartyOfLeader  ?b   ,?a  politicalPartyInLegislature  ?b,0.010033445,0.75,0.75,3,4,4,?b
?b  president  ?a  ?a  president  ?b   ,?a  vicePresident  ?b,0.020408163,0.09375,0.75,3,32,4,?b
?a  deputy  ?f  ?f  monarch  ?b   ,?a  monarch  ?b,0.050046339,0.666666667,0.75,54,81,72,?a
?a  guest  ?e  ?e  spouse  ?b   ,?a  guest  ?b,0.016120365,0.168539326,0.75,30,178,40,?b
?a  guest  ?f  ?b  spouse  ?f   ,?a  guest  ?b,0.016120365,0.174418605,0.75,30,172,40,?b
?b  parentCompany  ?a   ,?a  subsidiary  ?b,0.533487298,0.173945783,0.74516129,231,1328,310,?b
?a  relation  ?f  ?f  religion  ?b   ,?a  religion  ?b,0.011938423,0.441860465,0.745098039,38,86,51,?a
?b  ground  ?a  ?a  tenant  ?b   ,?a  owner  ?b,0.02173913,0.218487395,0.742857143,26,119,35,?a
?a  subregion  ?f  ?f  varietals  ?b   ,?a  growingGrape  ?b,0.073795181,0.553672316,0.742424242,98,177,132,?a
?f  nationality  ?b  ?a  predecessor  ?f   ,?a  nationality  ?b,0.056272757,0.279146141,0.742358079,170,609,229,?a
?a  politicalPartyOfLeader  ?b   ,?a  politicalPartyInLegislature  ?b,0.076923077,0.741935484,0.741935484,23,31,31,?b
?a  creator  ?b  ?a  director  ?b   ,?a  author  ?b,0.066666667,0.522727273,0.741935484,46,88,62,?b
?a  language  ?b   ,?a  officialLanguage  ?b,1,0.066024436,0.741424802,281,4256,379,?a
?a  canton  ?b   ,?a  neighboringMunicipality  ?b,0.032051282,0.101522843,0.740740741,20,197,27,?b
?f  creator  ?b  ?a  previousWork  ?f   ,?a  creator  ?b,0.107391911,0.52027027,0.740384615,154,296,208,?a
?a  parent  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.243119266,0.739534884,0.739534884,159,215,215,?a
?a  parent  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.243119266,0.739534884,0.739534884,159,215,215,?a
?a  lieutenant  ?f  ?f  party  ?b   ,?a  party  ?b,0.016256275,0.701030928,0.739130435,68,97,92,?a
?a  producer  ?b  ?a  starring  ?b   ,?a  author  ?b,0.020289855,0.137254902,0.736842105,14,102,19,?b
?f  developer  ?b  ?a  related  ?f   ,?a  developer  ?b,0.032258065,0.208955224,0.736842105,14,67,19,?a
?a  birthPlace  ?b  ?a  stateOfOrigin  ?b   ,?a  residence  ?b,0.014155713,0.147887324,0.736842105,42,284,57,?a
?a  creator  ?b  ?a  director  ?b   ,?a  executiveProducer  ?b,0.019230769,0.409090909,0.734693878,36,88,49,?a
?e  monarch  ?b  ?e  predecessor  ?a   ,?a  monarch  ?b,0.422613531,0.503311258,0.734299517,456,906,621,?a
?a  executiveProducer  ?b  ?b  knownFor  ?a   ,?a  creator  ?b,0.015341702,0.647058824,0.733333333,22,34,30,?a
?a  executiveProducer  ?b  ?a  producer  ?b   ,?a  creator  ?b,0.015341702,0.448979592,0.733333333,22,49,30,?a
?a  parent  ?f  ?f  stateOfOrigin  ?b   ,?a  stateOfOrigin  ?b,0.010648596,0.282051282,0.733333333,11,39,15,?a
?e  district  ?b  ?e  riverMouth  ?a   ,?a  district  ?b,0.078478002,0.364640884,0.733333333,66,181,90,?a
?e  creator  ?b  ?e  previousWork  ?a   ,?a  creator  ?b,0.106694561,0.586206897,0.732057416,153,261,209,?a
?e  child  ?a  ?e  party  ?b   ,?a  party  ?b,0.016256275,0.435897436,0.731182796,68,156,93,?a
?f  company  ?b  ?a  previousWork  ?f   ,?a  company  ?b,0.092800666,0.648255814,0.731147541,223,344,305,?a
?f  isPartOf  ?b  ?a  routeEnd  ?f   ,?a  routeEnd  ?b,0.098958333,0.149606299,0.730769231,19,127,26,?b
?e  channel  ?b  ?e  subsequentWork  ?a   ,?a  channel  ?b,0.036328872,0.391752577,0.730769231,38,97,52,?a
?e  country  ?b  ?e  parentCompany  ?a   ,?a  locationCountry  ?b,0.011487304,0.105555556,0.730769231,19,180,26,?a
?b  relative  ?a   ,?a  relative  ?b,0.504416094,0.504416094,0.730113636,514,1019,704,?b
?e  company  ?b  ?e  previousWork  ?a   ,?a  company  ?b,0.089471494,0.621387283,0.728813559,215,346,295,?a
?f  growingGrape  ?b  ?a  similar  ?f   ,?a  varietals  ?b,0.198156682,0.728813559,0.728813559,43,59,59,?b
?f  isPartOfWineRegion  ?b  ?a  isPartOfWineRegion  ?f   ,?a  isPartOfWineRegion  ?b,0.424460432,0.728395062,0.728395062,59,81,81,?a
?a  child  ?f  ?f  party  ?b   ,?a  party  ?b,0.016017213,0.577586207,0.72826087,67,116,92,?a
?b  predecessor  ?a  ?b  president  ?a   ,?a  primeMinister  ?b,0.023749208,0.323275862,0.72815534,75,232,103,?a
?e  nationality  ?b  ?e  predecessor  ?a   ,?a  nationality  ?b,0.056603774,0.295336788,0.727659574,171,579,235,?a
?e  artist  ?a  ?e  recordLabel  ?b   ,?a  recordLabel  ?b,0.011821764,0.449308756,0.72761194,390,868,536,?a
?b  product  ?a   ,?a  publisher  ?b,0.043010753,0.003334723,0.727272727,8,2399,11,?a
?b  spouse  ?a   ,?a  governor  ?b,0.022922636,0.004333694,0.727272727,8,1846,11,?a
?a  spouse  ?b   ,?a  governor  ?b,0.022922636,0.004333694,0.727272727,8,1846,11,?a
?b  deputy  ?a   ,?a  primeMinister  ?b,0.055731476,0.411214953,0.727272727,176,428,242,?a
?e  europeanAffiliation  ?b  ?e  mergedIntoParty  ?a   ,?a  europeanAffiliation  ?b,0.044444444,0.727272727,0.727272727,8,11,11,?a
?b  division  ?f  ?f  sisterStation  ?a   ,?a  owningCompany  ?b,0.011347518,0.551724138,0.727272727,16,29,22,?a
?a  company  ?b  ?a  creator  ?b   ,?a  executiveProducer  ?b,0.017094017,0.380952381,0.727272727,32,84,44,?a
?a  relation  ?f  ?b  spouse  ?f   ,?a  relation  ?b,0.031620553,0.296296296,0.727272727,8,27,11,?b
?a  relation  ?f  ?f  spouse  ?b   ,?a  relation  ?b,0.031620553,0.285714286,0.727272727,8,28,11,?b
?f  monarch  ?b  ?a  successor  ?f   ,?a  monarch  ?b,0.50695088,0.502757353,0.726427623,547,1088,753,?a
?b  owner  ?a   ,?a  ground  ?b,0.010927635,0.037625418,0.725806452,45,1196,62,?a
?b  inflow  ?a   ,?a  riverMouth  ?b,0.06231454,0.333333333,0.724137931,21,63,29,?a
?f  monarch  ?b  ?a  predecessor  ?f   ,?a  monarch  ?b,0.393883225,0.49765808,0.724020443,425,854,587,?a
?f  company  ?b  ?a  subsequentWork  ?f   ,?a  company  ?b,0.087806908,0.645259939,0.72260274,211,327,292,?a
?f  parent  ?b  ?a  parent  ?f   ,?a  relative  ?b,0.012757605,0.076923077,0.722222222,13,169,18,?b
?f  nationality  ?b  ?a  parent  ?f   ,?a  stateOfOrigin  ?b,0.012584705,0.265306122,0.722222222,13,49,18,?a
?e  governor  ?a  ?e  monarch  ?b   ,?a  monarch  ?b,0.040778499,0.6875,0.721311475,44,64,61,?a
?a  class  ?e  ?e  division  ?b   ,?a  phylum  ?b,0.014352665,0.103157895,0.720588235,49,475,68,?a
?a  birthPlace  ?b  ?a  nationality  ?b   ,?a  deathPlace  ?b,0.019414024,0.347770701,0.720316623,273,785,379,?a
?a  foundedBy  ?b  ?a  keyPerson  ?b   ,?a  owningCompany  ?b,0.012765957,0.295081967,0.72,18,61,25,?a
?a  foundedBy  ?b  ?a  keyPerson  ?b   ,?a  owner  ?b,0.015050167,0.295081967,0.72,18,61,25,?a
?e  company  ?b  ?e  subsequentWork  ?a   ,?a  company  ?b,0.089471494,0.625,0.719063545,215,344,299,?a
?b  capital  ?f  ?f  isPartOf  ?a   ,?a  state  ?b,0.014337925,0.086440678,0.718309859,51,590,71,?a
?a  division  ?f  ?f  kingdom  ?b   ,?a  kingdom  ?b,0.055219365,0.401098901,0.718032787,219,546,305,?a
?b  president  ?a   ,?a  vicePresident  ?b,0.829931973,0.053112756,0.717647059,122,2297,170,?b
?a  album  ?f  ?f  recordLabel  ?b   ,?a  recordLabel  ?b,0.013094877,0.712871287,0.717607973,432,606,602,?a
?b  parent  ?f  ?a  relative  ?f   ,?a  relative  ?b,0.06673209,0.561983471,0.715789474,68,121,95,?b
?b  isPartOfWineRegion  ?a   ,?a  subregion  ?b,0.796460177,0.647482014,0.714285714,90,139,126,?b
?a  isPartOf  ?f  ?f  operator  ?b   ,?a  operator  ?b,0.021929825,0.5,0.714285714,5,10,7,?a
?a  owner  ?f  ?f  predecessor  ?b   ,?a  operator  ?b,0.021929825,0.032051282,0.714285714,5,156,7,?a
?e  company  ?b  ?e  presenter  ?a   ,?a  employer  ?b,0.029585799,0.029585799,0.714285714,5,169,7,?b
?a  owner  ?b  ?b  raceHorse  ?a   ,?a  trainer  ?b,0.019762846,0.555555556,0.714285714,5,9,7,?a
?f  state  ?b  ?a  state  ?f   ,?a  daylightSavingTimeZone  ?b,0.037037037,0.208333333,0.714285714,5,24,7,?a
?a  computingPlatform  ?b  ?a  publisher  ?b   ,?a  developer  ?b,0.011520737,0.625,0.714285714,5,8,7,?a
?a  relation  ?f  ?f  relative  ?b   ,?a  relation  ?b,0.019762846,0.208333333,0.714285714,5,24,7,?b
?a  child  ?f  ?f  religion  ?b   ,?a  religion  ?b,0.012566761,0.49382716,0.714285714,40,81,56,?a
?b  company  ?a  ?b  creator  ?a   ,?a  notableWork  ?b,0.029761905,0.05952381,0.714285714,5,84,7,?b
?b  child  ?f  ?a  parent  ?f   ,?a  relative  ?b,0.019627085,0.344827586,0.714285714,20,58,28,?b
?f  composer  ?b  ?a  series  ?f   ,?a  musicComposer  ?b,0.067039106,0.25,0.714285714,60,240,84,?a
?f  pictureFormat  ?b  ?a  predecessor  ?f   ,?a  pictureFormat  ?b,0.017857143,0.588235294,0.714285714,20,34,28,?a
?a  parent  ?b   ,?a  predecessor  ?b,0.026029056,0.197247706,0.712707182,129,654,181,?b
?f  location  ?b  ?a  subsequentWork  ?f   ,?a  location  ?b,0.026452111,0.58968059,0.712166172,240,407,337,?a
?e  country  ?b  ?e  district  ?a   ,?a  country  ?b,0.010057151,0.520153551,0.711286089,271,521,381,?a
?b  occupation  ?a   ,?a  keyPerson  ?b,0.02946593,0.001699235,0.711111111,32,18832,45,?a
?a  creator  ?b  ?b  knownFor  ?a   ,?a  executiveProducer  ?b,0.011752137,0.423076923,0.709677419,22,52,31,?a
?a  endingTheme  ?b   ,?a  openingTheme  ?b,0.084367246,0.425,0.708333333,34,80,48,?a
?f  isPartOf  ?b  ?a  routeStart  ?f   ,?a  routeStart  ?b,0.085858586,0.120567376,0.708333333,17,141,24,?b
?e  deputy  ?a  ?e  monarch  ?b   ,?a  monarch  ?b,0.047265987,0.346938776,0.708333333,51,147,72,?a
?a  birthPlace  ?b  ?a  country  ?b   ,?a  deathPlace  ?b,0.010311478,0.372750643,0.707317073,145,389,205,?a
?f  sisterStation  ?b  ?a  sisterStation  ?f   ,?a  sisterStation  ?b,0.938136999,0.706407282,0.706407282,3958,5603,5603,?b
?a  creator  ?b  ?a  starring  ?b   ,?a  author  ?b,0.052173913,0.349514563,0.705882353,36,103,51,?b
?e  profession  ?b  ?e  relation  ?a   ,?a  profession  ?b,0.011811024,0.203389831,0.705882353,12,59,17,?a
?b  creator  ?a  ?b  director  ?a   ,?a  knownFor  ?b,0.018547141,0.136363636,0.705882353,12,88,17,?b
?f  languageFamily  ?b  ?a  languageFamily  ?f   ,?a  languageFamily  ?b,0.074698795,0.704545455,0.704545455,31,44,44,?a
?a  order  ?f  ?f  phylum  ?b   ,?a  division  ?b,0.043909348,0.025223759,0.704545455,31,1229,44,?a
?b  author  ?a  ?b  creator  ?a   ,?a  knownFor  ?b,0.029366306,0.093137255,0.703703704,19,204,27,?b
?e  location  ?b  ?e  subsequentWork  ?a   ,?a  location  ?b,0.026562328,0.55787037,0.702623907,241,432,343,?a
?e  country  ?b  ?e  location  ?a   ,?a  country  ?b,0.012172493,0.359649123,0.70235546,328,912,467,?a
?f  district  ?b  ?a  neighboringMunicipality  ?f   ,?a  district  ?b,0.086801427,0.483443709,0.701923077,73,151,104,?a
?e  district  ?b  ?e  neighboringMunicipality  ?a   ,?a  district  ?b,0.086801427,0.480263158,0.701923077,73,152,104,?a
?a  relative  ?f  ?b  spouse  ?f   ,?a  relative  ?b,0.09421001,0.395061728,0.700729927,96,243,137,?b
?b  parent  ?a   ,?a  successor  ?b,0.021102791,0.189602446,0.700564972,124,654,177,?a
?e  locationCity  ?b  ?e  product  ?a   ,?a  headquarter  ?b,0.010144928,0.018783542,0.7,21,1118,30,?a
?a  composer  ?b  ?a  director  ?b   ,?a  author  ?b,0.010144928,0.411764706,0.7,7,17,10,?b
?e  owningCompany  ?b  ?e  product  ?a   ,?a  manufacturer  ?b,0.021604938,0.018469657,0.7,7,379,10,?a
?e  owner  ?b  ?e  product  ?a   ,?a  manufacturer  ?b,0.021604938,0.018469657,0.7,7,379,10,?a
?b  division  ?f  ?a  subsidiary  ?f   ,?a  subsidiary  ?b,0.016166282,0.318181818,0.7,7,22,10,?b
?e  bodyStyle  ?b  ?e  vehicle  ?a   ,?a  bodyStyle  ?b,0.022435897,0.466666667,0.7,7,15,10,?a
?a  executiveProducer  ?b  ?a  starring  ?b   ,?a  creator  ?b,0.024407252,0.343137255,0.7,35,102,50,?a
?f  locationCountry  ?b  ?a  subsidiary  ?f   ,?a  locationCountry  ?b,0.016928658,0.29787234,0.7,28,94,40,?a
?e  layout  ?b  ?e  vehicle  ?a   ,?a  layout  ?b,0.033816425,0.583333333,0.7,7,12,10,?a
?a  europeanAffiliation  ?f  ?f  internationalAffiliation  ?b   ,?a  internationalAffiliation  ?b,0.438271605,0.548262548,0.699507389,142,259,203,?a
?e  monarch  ?b  ?e  successor  ?a   ,?a  monarch  ?b,0.505097312,0.494555354,0.697823303,545,1102,781,?a
?a  director  ?b  ?a  starring  ?b   ,?a  creator  ?b,0.011157601,0.228571429,0.695652174,16,70,23,?a
?f  district  ?b  ?a  rightTributary  ?f   ,?a  district  ?b,0.038049941,0.524590164,0.695652174,32,61,46,?a
?f  nationality  ?b  ?a  successor  ?f   ,?a  nationality  ?b,0.067196293,0.291666667,0.695205479,203,696,292,?a
?a  order  ?f  ?f  phylum  ?b   ,?a  phylum  ?b,0.233157586,0.647681041,0.695196507,796,1229,1145,?a
?a  creator  ?f  ?f  notableWork  ?b   ,?a  series  ?b,0.027777778,0.04368932,0.692307692,9,206,13,?a
?e  network  ?b  ?e  previousWork  ?a   ,?a  channel  ?b,0.017208413,0.072580645,0.692307692,18,248,26,?a
?a  notableCommander  ?f  ?b  successor  ?f   ,?a  notableCommander  ?b,0.034482759,0.108433735,0.692307692,9,83,13,?b
?a  city  ?f  ?b  isPartOf  ?f   ,?a  district  ?b,0.010701546,0.0005157,0.692307692,9,17452,13,?a
?e  location  ?b  ?e  previousWork  ?a   ,?a  location  ?b,0.025239722,0.536299766,0.6918429,229,427,331,?a
?f  country  ?b  ?a  country  ?f   ,?a  country  ?b,0.01265494,0.69168357,0.69168357,341,493,493,?a
?f  colour  ?b  ?a  sire  ?f   ,?a  colour  ?b,0.149933066,0.615384615,0.691358025,112,182,162,?a
?f  locationCountry  ?b  ?a  owningCompany  ?f   ,?a  locationCountry  ?b,0.108827086,0.355731225,0.689655172,180,506,261,?a
?e  nationality  ?b  ?e  successor  ?a   ,?a  nationality  ?b,0.068189341,0.266149871,0.688963211,206,774,299,?a
?a  owner  ?b   ,?a  tenant  ?b,0.120879121,0.027591973,0.6875,33,1196,48,?b
?e  child  ?a  ?e  nationality  ?b   ,?a  stateOfOrigin  ?b,0.010648596,0.135802469,0.6875,11,81,16,?a
?a  relative  ?f  ?f  spouse  ?b   ,?a  relative  ?b,0.09421001,0.372093023,0.685714286,96,258,140,?b
?e  parent  ?b  ?e  relative  ?a   ,?a  parent  ?b,0.129969419,0.306859206,0.685483871,85,277,124,?a
?f  child  ?a  ?b  spouse  ?f   ,?a  parent  ?b,0.149847095,0.443438914,0.685314685,98,221,143,?a
?a  assembly  ?f  ?b  largestCity  ?f   ,?a  assembly  ?b,0.023492063,0.25170068,0.685185185,37,147,54,?b
?e  nationality  ?b  ?e  primeMinister  ?a   ,?a  nationality  ?b,0.0244952,0.210826211,0.685185185,74,351,108,?a
?e  channel  ?b  ?e  previousWork  ?a   ,?a  network  ?b,0.012974052,0.302325581,0.684210526,26,86,38,?a
?b  division  ?f  ?a  parentCompany  ?f   ,?a  owningCompany  ?b,0.027659574,0.345132743,0.684210526,39,113,57,?a
?b  isPartOf  ?f  ?a  nearestCity  ?f   ,?a  nearestCity  ?b,0.055319149,0.023897059,0.684210526,13,544,19,?b
?b  division  ?f  ?a  parentCompany  ?f   ,?a  owner  ?b,0.032608696,0.345132743,0.684210526,39,113,57,?a
?f  country  ?b  ?a  region  ?f   ,?a  nationality  ?b,0.013571665,0.027872196,0.683333333,41,1471,60,?a
?a  map  ?b   ,?a  routeJunction  ?b,0.019329897,0.365853659,0.681818182,15,41,22,?b
?b  child  ?f  ?a  keyPerson  ?f   ,?a  foundedBy  ?b,0.023219814,0.46875,0.681818182,15,32,22,?b
?e  network  ?b  ?e  subsequentWork  ?a   ,?a  network  ?b,0.055389222,0.491150442,0.680981595,111,226,163,?a
?e  lieutenant  ?a  ?e  party  ?b   ,?a  party  ?b,0.01577815,0.634615385,0.680412371,66,104,97,?a
?a  musicalArtist  ?b  ?a  producer  ?b   ,?a  writer  ?b,0.050331732,0.372881356,0.679012346,220,590,324,?b
?a  musicalBand  ?b  ?a  producer  ?b   ,?a  writer  ?b,0.050331732,0.372881356,0.679012346,220,590,324,?b
?b  bandMember  ?f  ?a  writer  ?f   ,?a  musicalBand  ?b,0.10072896,0.293719807,0.678571429,304,1035,448,?b
?b  bandMember  ?f  ?a  writer  ?f   ,?a  musicalArtist  ?b,0.10072896,0.293719807,0.678571429,304,1035,448,?b
?e  child  ?a  ?e  spouse  ?b   ,?a  parent  ?b,0.151376147,0.43231441,0.678082192,99,229,146,?a
?b  child  ?f  ?f  relative  ?a   ,?a  parent  ?b,0.122324159,0.244648318,0.677966102,80,327,118,?a
?e  party  ?b  ?e  relation  ?a   ,?a  party  ?b,0.014582835,0.544642857,0.677777778,61,112,90,?a
?f  child  ?b  ?a  relation  ?f   ,?a  relation  ?b,0.083003953,0.362068966,0.677419355,21,58,31,?b
?f  child  ?b  ?a  relative  ?f   ,?a  relative  ?b,0.106967615,0.53960396,0.677018634,109,202,161,?b
?a  isPartOfWineRegion  ?f  ?f  varietals  ?b   ,?a  growingGrape  ?b,0.050451807,0.328431373,0.676767677,67,204,99,?a
?e  subregion  ?a  ?e  varietals  ?b   ,?a  growingGrape  ?b,0.050451807,0.255725191,0.676767677,67,262,99,?a
?a  sisterStation  ?f  ?b  subsidiary  ?f   ,?a  owningCompany  ?b,0.016312057,0.58974359,0.676470588,23,39,34,?a
?e  affiliation  ?a  ?e  ideology  ?b   ,?a  ideology  ?b,0.015939016,0.333333333,0.676470588,23,69,34,?a
?f  monarch  ?b  ?a  primeMinister  ?f   ,?a  monarch  ?b,0.436515292,0.348115299,0.6747851,471,1353,698,?a
?a  capital  ?f  ?f  timeZone  ?b   ,?a  timeZone  ?b,0.010341139,0.198177677,0.674418605,87,439,129,?a
?a  creator  ?b  ?a  starring  ?b   ,?a  executiveProducer  ?b,0.018696581,0.339805825,0.673076923,35,103,52,?a
?f  format  ?b  ?a  previousWork  ?f   ,?a  format  ?b,0.109713228,0.590049751,0.671574179,593,1005,883,?a
?a  predecessor  ?f  ?b  sisterStation  ?f   ,?a  sisterStation  ?b,0.012562219,0.638554217,0.670886076,53,83,79,?b
?a  birthPlace  ?b  ?a  deathPlace  ?b   ,?a  residence  ?b,0.038422649,0.034111311,0.670588235,114,3342,170,?a
?f  location  ?b  ?a  previousWork  ?f   ,?a  location  ?b,0.026231676,0.570743405,0.670422535,238,417,355,?a
?a  location  ?b   ,?a  headquarter  ?b,0.088405797,0.020169734,0.667883212,183,9073,274,?a
?f  family  ?b  ?a  family  ?f   ,?a  family  ?b,0.325412807,0.667217176,0.667217176,1616,2422,2422,?a
?b  jockey  ?a   ,?a  raceHorse  ?b,0.010791367,0.545454545,0.666666667,6,11,9,?b
?a  director  ?b   ,?a  presenter  ?b,0.012578616,0.00191022,0.666666667,4,2094,6,?b
?a  keyPerson  ?f  ?f  parent  ?b   ,?a  foundedBy  ?b,0.018575851,0.48,0.666666667,12,25,18,?b
?a  river  ?f  ?f  state  ?b   ,?a  sourcePlace  ?b,0.011173184,0.0625,0.666666667,2,32,3,?a
?e  mouthMountain  ?a  ?e  state  ?b   ,?a  sourcePlace  ?b,0.011173184,0.0078125,0.666666667,2,256,3,?a
?e  mouthPlace  ?a  ?e  state  ?b   ,?a  sourcePlace  ?b,0.011173184,0.0078125,0.666666667,2,256,3,?a
?a  industry  ?b  ?a  product  ?b   ,?a  service  ?b,0.017964072,0.095238095,0.666666667,6,63,9,?a
?b  governor  ?a  ?a  predecessor  ?b   ,?a  lieutenant  ?b,0.019230769,0.25,0.666666667,2,8,3,?a
?e  leader  ?b  ?e  location  ?a   ,?a  leader  ?b,0.013483146,0.105263158,0.666666667,6,57,9,?a
?e  dam  ?a  ?e  owner  ?b   ,?a  breeder  ?b,0.016393443,0.666666667,0.666666667,2,3,3,?a
?f  europeanParliamentGroup  ?b  ?a  nationalAffiliation  ?f   ,?a  europeanParliamentGroup  ?b,0.033333333,0.363636364,0.666666667,4,11,6,?a
?f  europeanParliamentGroup  ?b  ?a  mergedIntoParty  ?f   ,?a  europeanParliamentGroup  ?b,0.033333333,0.25,0.666666667,4,16,6,?a
?e  europeanParliamentGroup  ?b  ?e  mergedIntoParty  ?a   ,?a  europeanParliamentGroup  ?b,0.033333333,0.571428571,0.666666667,4,7,6,?a
?e  europeanAffiliation  ?a  ?e  europeanParliamentGroup  ?b   ,?a  europeanParliamentGroup  ?b,0.033333333,0.363636364,0.666666667,4,11,6,?a
?f  narrator  ?b  ?a  previousWork  ?f   ,?a  narrator  ?b,0.010695187,0.133333333,0.666666667,2,15,3,?a
?a  starring  ?b  ?a  writer  ?b   ,?a  narrator  ?b,0.010695187,0.044444444,0.666666667,2,45,3,?a
?b  foundedBy  ?a  ?b  keyPerson  ?a   ,?a  employer  ?b,0.01183432,0.032786885,0.666666667,2,61,3,?b
?b  keyPerson  ?a  ?a  occupation  ?b   ,?a  employer  ?b,0.01183432,0.0625,0.666666667,2,32,3,?b
?b  division  ?f  ?f  keyPerson  ?a   ,?a  employer  ?b,0.01183432,0.04,0.666666667,2,50,3,?b
?a  producer  ?b  ?a  writer  ?b   ,?a  director  ?b,0.037249284,0.076470588,0.666666667,78,1020,117,?a
?e  foundedBy  ?a  ?e  keyPerson  ?b   ,?a  child  ?b,0.028481013,0.090909091,0.666666667,18,198,27,?b
?a  growingGrape  ?f  ?b  varietals  ?f   ,?a  similar  ?b,0.067307692,0.008843967,0.666666667,14,1583,21,?a
?a  producer  ?b  ?a  writer  ?b   ,?a  musicalBand  ?b,0.072895958,0.215686275,0.666666667,220,1020,330,?b
?a  sourceConfluenceRegion  ?b  ?a  state  ?b   ,?a  sourceRegion  ?b,0.028368794,0.5,0.666666667,4,8,6,?a
