Body,Head,Head_Coverage,Standard_Confidence,Pca_Confidence,Support,Body_Size,Pca_Body_Size,Functional_variable
?e  predecessor  ?b  ?a  sibling  ?e   ,?a  father  ?b,0.110942,0.388298,0.401099,73,188,182,?a
?e  predecessor  ?b  ?e  sibling  ?a   ,?a  father  ?b,0.110942,0.388298,0.401099,73,188,182,?a
?f  sibling  ?a  ?b  successor  ?f   ,?a  father  ?b,0.110942,0.388298,0.401099,73,188,182,?a
?a  sibling  ?f  ?b  successor  ?f   ,?a  father  ?b,0.110942,0.388298,0.401099,73,188,182,?a
?f  child  ?a  ?b  marriedTo  ?f   ,?a  mother  ?b,0.011236,0.101695,0.4,6,59,15,?a
?e  child  ?a  ?e  marriedTo  ?b   ,?a  mother  ?b,0.011236,0.101695,0.4,6,59,15,?a
?f  child  ?a  ?b  spouse  ?f   ,?a  mother  ?b,0.509363,0.114286,0.393632,272,2380,691,?a
?e  child  ?a  ?e  spouse  ?b   ,?a  mother  ?b,0.509363,0.114286,0.393632,272,2380,691,?a
?f  child  ?b  ?a  spouse  ?f   ,?a  child  ?b,0.493411,0.393277,0.393277,936,2380,2380,?b
?e  child  ?b  ?e  spouse  ?a   ,?a  child  ?b,0.493411,0.393277,0.393277,936,2380,2380,?b
?a  name  ?f  ?b  successor  ?f   ,?a  father  ?b,0.013678,0.375,0.391304,9,24,23,?a
?a  name  ?f  ?f  predecessor  ?b   ,?a  father  ?b,0.013678,0.375,0.391304,9,24,23,?a
?f  name  ?b  ?a  parent  ?f   ,?a  predecessor  ?b,0.014862,0.009485,0.388889,7,738,18,?b
?f  name  ?a  ?b  parent  ?f   ,?a  successor  ?b,0.014862,0.009485,0.388889,7,738,18,?a
?b  child  ?f  ?a  name  ?f   ,?a  father  ?b,0.047112,0.369048,0.378049,31,84,82,?a
?e  marriedTo  ?b  ?a  parent  ?e   ,?a  mother  ?b,0.013109,0.368421,0.368421,7,19,19,?a
?b  name  ?f  ?a  parent  ?f   ,?a  predecessor  ?b,0.014862,0.046358,0.368421,7,151,19,?b
?a  name  ?f  ?b  parent  ?f   ,?a  successor  ?b,0.014862,0.046358,0.368421,7,151,19,?a
?a  child  ?f  ?b  child  ?f   ,?a  spouse  ?b,0.201389,0.347826,0.365354,232,667,635,?a
?a  father  ?f  ?b  predecessor  ?f   ,?a  sibling  ?b,0.243671,0.182464,0.356481,77,422,216,?a
?a  father  ?f  ?f  successor  ?b   ,?a  sibling  ?b,0.243671,0.182464,0.356481,77,422,216,?a
?f  parent  ?b  ?a  successor  ?f   ,?a  spouse  ?b,0.142361,0.240822,0.354212,164,681,463,?a
?e  parent  ?b  ?e  predecessor  ?a   ,?a  spouse  ?b,0.142361,0.240822,0.354212,164,681,463,?a
?b  marriedTo  ?f  ?a  parent  ?f   ,?a  father  ?b,0.010638,0.35,0.35,7,20,20,?a
?f  child  ?a  ?b  spouse  ?f   ,?a  father  ?b,0.37234,0.102941,0.349501,245,2380,701,?a
?e  child  ?a  ?e  spouse  ?b   ,?a  father  ?b,0.37234,0.102941,0.349501,245,2380,701,?a
?f  child  ?a  ?b  predecessor  ?f   ,?a  sibling  ?b,0.234177,0.056792,0.342593,74,1303,216,?a
?e  child  ?a  ?e  successor  ?b   ,?a  sibling  ?b,0.234177,0.056792,0.342593,74,1303,216,?a
?a  parent  ?f  ?b  predecessor  ?f   ,?a  sibling  ?b,0.253165,0.169133,0.322581,80,473,248,?a
?a  parent  ?f  ?f  successor  ?b   ,?a  sibling  ?b,0.253165,0.169133,0.322581,80,473,248,?a
?f  father  ?b  ?a  sibling  ?f   ,?a  predecessor  ?b,0.106157,0.236967,0.322581,50,211,155,?b
?e  father  ?b  ?e  sibling  ?a   ,?a  predecessor  ?b,0.106157,0.236967,0.322581,50,211,155,?b
?f  father  ?a  ?b  sibling  ?f   ,?a  successor  ?b,0.106157,0.236967,0.322581,50,211,155,?a
?e  father  ?a  ?e  sibling  ?b   ,?a  successor  ?b,0.106157,0.236967,0.322581,50,211,155,?a
?f  parent  ?b  ?a  sibling  ?f   ,?a  predecessor  ?b,0.123142,0.136792,0.313514,58,424,185,?b
?e  parent  ?b  ?e  sibling  ?a   ,?a  predecessor  ?b,0.123142,0.136792,0.313514,58,424,185,?b
?f  parent  ?a  ?b  sibling  ?f   ,?a  successor  ?b,0.123142,0.136792,0.313514,58,424,185,?a
?e  parent  ?a  ?e  sibling  ?b   ,?a  successor  ?b,0.123142,0.136792,0.313514,58,424,185,?a
?b  child  ?f  ?f  sibling  ?a   ,?a  predecessor  ?b,0.106157,0.171821,0.306748,50,291,163,?b
?b  child  ?f  ?a  sibling  ?f   ,?a  predecessor  ?b,0.106157,0.171821,0.306748,50,291,163,?b
?a  child  ?f  ?b  sibling  ?f   ,?a  successor  ?b,0.106157,0.171821,0.306748,50,291,163,?a
?a  child  ?e  ?e  sibling  ?b   ,?a  successor  ?b,0.106157,0.171821,0.306748,50,291,163,?a
?b  child  ?a   ,?a  parent  ?b,0.447942,0.292567,0.306461,555,1897,1811,?b
?f  child  ?a  ?b  name  ?f   ,?a  parent  ?b,0.076675,0.298742,0.301587,95,318,315,?b
?b  marriedTo  ?f  ?a  parent  ?f   ,?a  mother  ?b,0.011236,0.3,0.3,6,20,20,?a
?e  child  ?a  ?e  name  ?b   ,?a  parent  ?b,0.076675,0.061568,0.296875,95,1543,320,?b
?b  predecessor  ?f  ?f  spouse  ?a   ,?a  child  ?b,0.059041,0.232365,0.286445,112,482,391,?b
?b  predecessor  ?f  ?a  spouse  ?f   ,?a  child  ?b,0.059041,0.232365,0.286445,112,482,391,?b
?e  spouse  ?a  ?e  successor  ?b   ,?a  child  ?b,0.059041,0.232365,0.286445,112,482,391,?b
?a  spouse  ?f  ?f  successor  ?b   ,?a  child  ?b,0.059041,0.232365,0.286445,112,482,391,?b
?f  child  ?a  ?b  spouse  ?f   ,?a  parent  ?b,0.426957,0.222269,0.275234,529,2380,1922,?b
?e  child  ?a  ?e  spouse  ?b   ,?a  parent  ?b,0.426957,0.222269,0.275234,529,2380,1922,?b
?a  father  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.038217,0.026588,0.268657,18,677,67,?b
?a  father  ?e  ?e  spouse  ?b   ,?a  predecessor  ?b,0.038217,0.026588,0.268657,18,677,67,?b
?b  father  ?f  ?f  spouse  ?a   ,?a  successor  ?b,0.038217,0.026588,0.268657,18,677,67,?a
?b  father  ?f  ?a  spouse  ?f   ,?a  successor  ?b,0.038217,0.026588,0.268657,18,677,67,?a
?b  child  ?f  ?f  predecessor  ?a   ,?a  spouse  ?b,0.088542,0.205645,0.267717,102,496,381,?a
?b  child  ?f  ?a  successor  ?f   ,?a  spouse  ?b,0.088542,0.205645,0.267717,102,496,381,?a
?f  parent  ?a  ?b  successor  ?f   ,?a  spouse  ?b,0.142361,0.240822,0.265372,164,681,618,?a
?e  parent  ?a  ?e  predecessor  ?b   ,?a  spouse  ?b,0.142361,0.240822,0.265372,164,681,618,?a
?b  child  ?f  ?f  mother  ?a   ,?a  name  ?b,0.09062,0.148825,0.265116,57,383,215,?a
?f  child  ?b  ?a  mother  ?f   ,?a  sibling  ?b,0.64557,0.156802,0.248175,204,1301,822,?a
?f  child  ?b  ?a  father  ?f   ,?a  sibling  ?b,0.756329,0.15165,0.238048,239,1576,1004,?a
?a  mother  ?f  ?b  predecessor  ?f   ,?a  sibling  ?b,0.028481,0.147541,0.236842,9,61,38,?a
?a  mother  ?f  ?f  successor  ?b   ,?a  sibling  ?b,0.028481,0.147541,0.236842,9,61,38,?a
?b  spouse  ?f  ?f  successor  ?a   ,?a  predecessor  ?b,0.055202,0.053942,0.234234,26,482,111,?b
?a  predecessor  ?f  ?b  spouse  ?f   ,?a  predecessor  ?b,0.055202,0.053942,0.234234,26,482,111,?b
?a  predecessor  ?f  ?f  spouse  ?b   ,?a  predecessor  ?b,0.055202,0.053942,0.234234,26,482,111,?b
?e  spouse  ?b  ?e  successor  ?a   ,?a  predecessor  ?b,0.055202,0.053942,0.234234,26,482,111,?b
?b  predecessor  ?f  ?f  spouse  ?a   ,?a  successor  ?b,0.055202,0.053942,0.234234,26,482,111,?a
?b  predecessor  ?f  ?a  spouse  ?f   ,?a  successor  ?b,0.055202,0.053942,0.234234,26,482,111,?a
?a  spouse  ?f  ?f  successor  ?b   ,?a  successor  ?b,0.055202,0.053942,0.234234,26,482,111,?a
?e  spouse  ?a  ?e  successor  ?b   ,?a  successor  ?b,0.055202,0.053942,0.234234,26,482,111,?a
?f  father  ?b  ?a  name  ?f   ,?a  predecessor  ?b,0.019108,0.082569,0.230769,9,109,39,?b
?f  mother  ?b  ?a  sibling  ?f   ,?a  predecessor  ?b,0.012739,0.028846,0.230769,6,208,26,?b
?e  mother  ?b  ?e  sibling  ?a   ,?a  predecessor  ?b,0.012739,0.028846,0.230769,6,208,26,?b
?f  mother  ?a  ?b  sibling  ?f   ,?a  successor  ?b,0.012739,0.028846,0.230769,6,208,26,?a
?f  father  ?a  ?b  name  ?f   ,?a  successor  ?b,0.019108,0.082569,0.230769,9,109,39,?a
?e  mother  ?a  ?e  sibling  ?b   ,?a  successor  ?b,0.012739,0.028846,0.230769,6,208,26,?a
?f  child  ?b  ?a  parent  ?f   ,?a  sibling  ?b,0.870253,0.132786,0.229358,275,2071,1199,?a
?e  child  ?a  ?e  child  ?b   ,?a  sibling  ?b,0.867089,0.029864,0.227386,274,9175,1205,?a
?a  child  ?f  ?b  successor  ?f   ,?a  spouse  ?b,0.088542,0.205645,0.216102,102,496,472,?a
?a  child  ?f  ?f  predecessor  ?b   ,?a  spouse  ?b,0.088542,0.205645,0.216102,102,496,472,?a
?e  mother  ?a  ?e  parent  ?b   ,?a  name  ?b,0.139905,0.100802,0.214112,88,873,411,?a
?a  name  ?f  ?f  parent  ?b   ,?a  predecessor  ?b,0.019108,0.045226,0.204545,9,199,44,?b
?b  name  ?f  ?f  parent  ?a   ,?a  successor  ?b,0.019108,0.045226,0.204545,9,199,44,?a
?e  child  ?b  ?e  name  ?a   ,?a  child  ?b,0.166052,0.204148,0.204148,315,1543,1543,?b
?e  child  ?b  ?e  successor  ?a   ,?a  sibling  ?b,0.234177,0.056792,0.203857,74,1303,363,?a
?f  child  ?b  ?a  predecessor  ?f   ,?a  sibling  ?b,0.234177,0.056792,0.203857,74,1303,363,?a
?e  child  ?a  ?e  name  ?b   ,?a  mother  ?b,0.159176,0.055087,0.199531,85,1543,426,?a
?a  mother  ?f  ?b  predecessor  ?f   ,?a  father  ?b,0.018237,0.196721,0.196721,12,61,61,?a
?a  mother  ?f  ?f  successor  ?b   ,?a  father  ?b,0.018237,0.196721,0.196721,12,61,61,?a
?b  child  ?a   ,?a  predecessor  ?b,0.435244,0.108065,0.19636,205,1897,1044,?b
?a  child  ?b   ,?a  successor  ?b,0.435244,0.108065,0.19636,205,1897,1044,?a
?e  name  ?b  ?e  spouse  ?a   ,?a  spouse  ?b,0.114583,0.195556,0.195846,132,675,674,?a
?f  name  ?b  ?a  spouse  ?f   ,?a  spouse  ?b,0.114583,0.195556,0.195556,132,675,675,?a
?f  name  ?a  ?b  parent  ?f   ,?a  child  ?b,0.050079,0.128726,0.191532,95,738,496,?b
?f  predecessor  ?a  ?b  sibling  ?f   ,?a  sibling  ?b,0.041139,0.069149,0.191176,13,188,68,?a
?b  sibling  ?f  ?a  successor  ?f   ,?a  sibling  ?b,0.041139,0.069149,0.191176,13,188,68,?a
?f  sibling  ?b  ?a  successor  ?f   ,?a  sibling  ?b,0.041139,0.069149,0.191176,13,188,68,?a
?e  predecessor  ?a  ?e  sibling  ?b   ,?a  sibling  ?b,0.041139,0.069149,0.191176,13,188,68,?a
?e  name  ?b  ?a  parent  ?e   ,?a  mother  ?b,0.224719,0.162602,0.186916,120,738,642,?a
?e  father  ?b  ?e  name  ?a   ,?a  parent  ?b,0.08636,0.186411,0.186411,107,574,574,?b
?e  name  ?a  ?e  parent  ?b   ,?a  parent  ?b,0.157385,0.182584,0.182584,195,1068,1068,?b
?a  child  ?f  ?f  mother  ?b   ,?a  name  ?b,0.09062,0.148825,0.181529,57,383,314,?a
?e  mother  ?b  ?e  parent  ?a   ,?a  name  ?b,0.139905,0.100802,0.178138,88,873,494,?a
?b  name  ?f  ?a  parent  ?f   ,?a  father  ?b,0.039514,0.172185,0.174497,26,151,149,?a
?e  mother  ?b  ?e  name  ?a   ,?a  parent  ?b,0.062147,0.170732,0.170732,77,451,451,?b
?a  predecessor  ?f  ?b  sibling  ?f   ,?a  sibling  ?b,0.041139,0.06599,0.166667,13,197,78,?a
?b  sibling  ?f  ?f  successor  ?a   ,?a  sibling  ?b,0.041139,0.06599,0.166667,13,197,78,?a
?a  predecessor  ?f  ?f  sibling  ?b   ,?a  sibling  ?b,0.041139,0.06599,0.166667,13,197,78,?a
?e  sibling  ?b  ?e  successor  ?a   ,?a  sibling  ?b,0.041139,0.06599,0.166667,13,197,78,?a
?b  child  ?f  ?f  name  ?a   ,?a  parent  ?b,0.058918,0.157667,0.157667,73,463,463,?b
?f  spouse  ?a  ?b  spouse  ?f   ,?a  name  ?b,0.170111,0.077034,0.156891,107,1389,682,?a
?f  spouse  ?b  ?a  spouse  ?f   ,?a  name  ?b,0.170111,0.077034,0.156891,107,1389,682,?a
?a  spouse  ?f  ?b  spouse  ?f   ,?a  name  ?b,0.170111,0.076978,0.156662,107,1390,683,?a
?e  spouse  ?a  ?e  spouse  ?b   ,?a  name  ?b,0.170111,0.076978,0.156662,107,1390,683,?a
?e  father  ?a  ?e  mother  ?b   ,?a  predecessor  ?b,0.010616,0.011682,0.15625,5,428,32,?b
?e  father  ?b  ?e  mother  ?a   ,?a  successor  ?b,0.010616,0.011682,0.15625,5,428,32,?a
?f  child  ?a  ?b  spouse  ?f   ,?a  predecessor  ?b,0.237792,0.047059,0.153635,112,2380,729,?b
?e  child  ?a  ?e  spouse  ?b   ,?a  predecessor  ?b,0.237792,0.047059,0.153635,112,2380,729,?b
?e  child  ?b  ?e  spouse  ?a   ,?a  successor  ?b,0.237792,0.047059,0.153635,112,2380,729,?a
?e  child  ?b  ?a  spouse  ?e   ,?a  successor  ?b,0.237792,0.047059,0.153635,112,2380,729,?a
?a  name  ?f  ?b  name  ?f   ,?a  name  ?b,0.193959,0.142357,0.142357,122,857,857,?a
?f  name  ?b  ?a  sibling  ?f   ,?a  sibling  ?b,0.113924,0.138996,0.138996,36,259,259,?a
?e  name  ?b  ?e  sibling  ?a   ,?a  sibling  ?b,0.113924,0.138996,0.138996,36,259,259,?a
?f  child  ?a  ?b  name  ?f   ,?a  predecessor  ?b,0.016985,0.025157,0.137931,8,318,58,?b
?e  child  ?b  ?a  name  ?e   ,?a  successor  ?b,0.016985,0.025157,0.137931,8,318,58,?a
?e  child  ?a  ?e  name  ?b   ,?a  predecessor  ?b,0.016985,0.005185,0.133333,8,1543,60,?b
?e  child  ?b  ?e  name  ?a   ,?a  successor  ?b,0.016985,0.005185,0.133333,8,1543,60,?a
?f  father  ?a  ?b  successor  ?f   ,?a  child  ?b,0.014233,0.078035,0.131707,27,346,205,?b
?e  father  ?a  ?e  predecessor  ?b   ,?a  child  ?b,0.014233,0.078035,0.131707,27,346,205,?b
?a  parent  ?f  ?b  parent  ?f   ,?a  name  ?b,0.17806,0.112224,0.13161,112,998,851,?a
?a  father  ?f  ?b  father  ?f   ,?a  name  ?b,0.170111,0.111227,0.130807,107,962,818,?a
?a  father  ?f  ?b  parent  ?f   ,?a  name  ?b,0.170111,0.110537,0.130012,107,968,823,?a
?b  father  ?f  ?a  parent  ?f   ,?a  name  ?b,0.170111,0.110537,0.129854,107,968,824,?a
?a  child  ?f  ?b  child  ?f   ,?a  name  ?b,0.109698,0.103448,0.128972,69,667,535,?a
?b  child  ?f  ?f  parent  ?a   ,?a  name  ?b,0.104928,0.083544,0.128906,66,790,512,?a
?a  child  ?f  ?b  predecessor  ?f   ,?a  child  ?b,0.023722,0.105882,0.121951,45,425,369,?b
?a  child  ?f  ?f  successor  ?b   ,?a  child  ?b,0.023722,0.105882,0.121951,45,425,369,?b
?a  child  ?f  ?b  successor  ?f   ,?a  child  ?b,0.023195,0.08871,0.121212,44,496,363,?b
?a  child  ?f  ?f  predecessor  ?b   ,?a  child  ?b,0.023195,0.08871,0.121212,44,496,363,?b
?a  mother  ?f  ?b  predecessor  ?f   ,?a  predecessor  ?b,0.012739,0.098361,0.12,6,61,50,?b
?f  mother  ?b  ?a  successor  ?f   ,?a  predecessor  ?b,0.012739,0.019048,0.12,6,315,50,?b
?a  mother  ?f  ?f  successor  ?b   ,?a  predecessor  ?b,0.012739,0.098361,0.12,6,61,50,?b
?e  mother  ?b  ?e  predecessor  ?a   ,?a  predecessor  ?b,0.012739,0.019048,0.12,6,315,50,?b
?f  mother  ?a  ?b  successor  ?f   ,?a  successor  ?b,0.012739,0.019048,0.12,6,315,50,?a
?b  mother  ?f  ?f  successor  ?a   ,?a  successor  ?b,0.012739,0.098361,0.12,6,61,50,?a
?b  mother  ?f  ?a  predecessor  ?f   ,?a  successor  ?b,0.012739,0.098361,0.12,6,61,50,?a
?e  mother  ?a  ?e  predecessor  ?b   ,?a  successor  ?b,0.012739,0.019048,0.12,6,315,50,?a
?a  predecessor  ?f  ?b  successor  ?f   ,?a  parent  ?b,0.033091,0.079922,0.119883,41,513,342,?b
?f  successor  ?a  ?b  successor  ?f   ,?a  parent  ?b,0.033091,0.079922,0.119883,41,513,342,?b
?e  predecessor  ?b  ?a  predecessor  ?e   ,?a  parent  ?b,0.033091,0.079922,0.119883,41,513,342,?b
?e  predecessor  ?b  ?e  successor  ?a   ,?a  parent  ?b,0.033091,0.079922,0.119883,41,513,342,?b
?b  child  ?f  ?a  successor  ?f   ,?a  predecessor  ?b,0.084926,0.080645,0.117994,40,496,339,?b
?b  child  ?f  ?f  predecessor  ?a   ,?a  predecessor  ?b,0.084926,0.080645,0.117994,40,496,339,?b
?a  child  ?f  ?b  successor  ?f   ,?a  successor  ?b,0.084926,0.080645,0.117994,40,496,339,?a
?a  child  ?e  ?e  predecessor  ?b   ,?a  successor  ?b,0.084926,0.080645,0.117994,40,496,339,?a
?f  parent  ?b  ?a  successor  ?f   ,?a  predecessor  ?b,0.089172,0.061674,0.117647,42,681,357,?b
?e  parent  ?b  ?e  predecessor  ?a   ,?a  predecessor  ?b,0.089172,0.061674,0.117647,42,681,357,?b
?f  parent  ?a  ?b  successor  ?f   ,?a  successor  ?b,0.089172,0.061674,0.117647,42,681,357,?a
?e  parent  ?a  ?e  predecessor  ?b   ,?a  successor  ?b,0.089172,0.061674,0.117647,42,681,357,?a
?a  mother  ?f  ?b  mother  ?f   ,?a  name  ?b,0.122417,0.097468,0.115789,77,790,665,?a
?b  mother  ?f  ?a  parent  ?f   ,?a  name  ?b,0.122417,0.096734,0.115269,77,796,668,?a
?a  mother  ?f  ?b  parent  ?f   ,?a  name  ?b,0.122417,0.096734,0.115097,77,796,669,?a
?f  father  ?b  ?a  successor  ?f   ,?a  predecessor  ?b,0.072187,0.098266,0.114865,34,346,296,?b
?f  father  ?a  ?b  successor  ?f   ,?a  successor  ?b,0.072187,0.098266,0.114865,34,346,296,?a
?e  father  ?b  ?e  predecessor  ?a   ,?a  predecessor  ?b,0.072187,0.098266,0.114865,34,346,296,?b
?e  father  ?a  ?e  predecessor  ?b   ,?a  successor  ?b,0.072187,0.098266,0.114865,34,346,296,?a
?f  child  ?a  ?b  mother  ?f   ,?a  name  ?b,0.066773,0.032283,0.113821,42,1301,369,?a
?a  parent  ?f  ?f  successor  ?b   ,?a  predecessor  ?b,0.084926,0.084567,0.106952,40,473,374,?b
?a  parent  ?f  ?b  predecessor  ?f   ,?a  predecessor  ?b,0.084926,0.084567,0.106952,40,473,374,?b
?b  parent  ?f  ?f  successor  ?a   ,?a  successor  ?b,0.084926,0.084567,0.106952,40,473,374,?a
?b  parent  ?f  ?a  predecessor  ?f   ,?a  successor  ?b,0.084926,0.084567,0.106952,40,473,374,?a
?e  parent  ?a  ?e  parent  ?b   ,?a  name  ?b,0.176471,0.057246,0.102683,111,1939,1081,?a
?e  child  ?a  ?b  name  ?e   ,?a  father  ?b,0.015198,0.031447,0.102041,10,318,98,?a
?a  father  ?f  ?b  predecessor  ?f   ,?a  predecessor  ?b,0.072187,0.080569,0.101493,34,422,335,?b
?a  father  ?e  ?e  successor  ?b   ,?a  predecessor  ?b,0.072187,0.080569,0.101493,34,422,335,?b
?b  father  ?f  ?f  successor  ?a   ,?a  successor  ?b,0.072187,0.080569,0.101493,34,422,335,?a
?b  father  ?f  ?a  predecessor  ?f   ,?a  successor  ?b,0.072187,0.080569,0.101493,34,422,335,?a
?f  parent  ?a  ?b  successor  ?f   ,?a  child  ?b,0.02214,0.061674,0.101449,42,681,414,?b
?e  parent  ?a  ?e  predecessor  ?b   ,?a  child  ?b,0.02214,0.061674,0.101449,42,681,414,?b
?a  child  ?f  ?f  parent  ?b   ,?a  name  ?b,0.104928,0.083544,0.100917,66,790,654,?a
?a  predecessor  ?f  ?b  successor  ?f   ,?a  father  ?b,0.051672,0.066277,0.100592,34,513,338,?a
?f  successor  ?a  ?b  successor  ?f   ,?a  father  ?b,0.051672,0.066277,0.100592,34,513,338,?a
?e  predecessor  ?b  ?a  predecessor  ?e   ,?a  father  ?b,0.051672,0.066277,0.100592,34,513,338,?a
?e  predecessor  ?b  ?e  successor  ?a   ,?a  father  ?b,0.051672,0.066277,0.100592,34,513,338,?a
