Body,Head,Head_Coverage,Standard_Confidence,PCA_Confidence,Support,Body_Size,Pca_Body_Size,Functional_variable
?a  comorbidity  Cardiopathy   ,?a  ageCategory  young,0.2112,0.503337,0.503337,2112,4196,4196,?a
?a  biomarker  ALK_Positive  ?a  hasRelapse  Yes   ,?a  ageCategory  young,0.0769,0.503272,0.503272,769,1528,1528,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Depression   ,?a  hasRelapse  Yes,0.062,0.503247,0.503247,620,1232,1232,?a
?a  biomarker  Unknown  ?a  comorbidity  Depression   ,?a  ageCategory  young,0.0713,0.503176,0.503176,713,1417,1417,?a
?a  drug  Nivolumab  ?a  sex  male   ,?a  hasRelapse  Yes,0.0873,0.50317,0.50317,873,1735,1735,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.0556,0.503167,0.503167,556,1105,1105,?a
?a  comorbidity  Others   ,?a  sex  female,0.2166,0.503136,0.503136,2166,4305,4305,?a
?a  drug  Nivolumab  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.0414,0.503038,0.503038,414,823,823,?a
?a  sex  female   ,?a  ageCategory  young,0.2485,0.503036,0.503036,2485,4940,4940,?a
?a  biomarker  Unknown  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.0417,0.503016,0.503016,417,829,829,?a
?a  drug  Nivolumab  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.043,0.502924,0.502924,430,855,855,?a
?a  ageCategory  old   ,?a  hasRelapse  No,0.2525,0.502788,0.502788,2525,5022,5022,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Others   ,?a  hasRelapse  No,0.065,0.502707,0.502707,650,1293,1293,?a
?a  comorbidity  Others   ,?a  hasRelapse  Yes,0.2164,0.502671,0.502671,2164,4305,4305,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Afatinib   ,?a  ageCategory  young,0.0756,0.50266,0.50266,756,1504,1504,?a
?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.1248,0.502618,0.502618,1248,2483,2483,?a
?a  biomarker  EGFR_Positive  ?a  drug  Vinorelbine   ,?a  hasRelapse  Yes,0.0512,0.502453,0.502453,512,1019,1019,?a
?a  hasRelapse  Yes   ,?a  sex  male,0.2519,0.502393,0.502393,2519,5014,5014,?a
?a  biomarker  ALK_Positive  ?a  drug  Afatinib   ,?a  ageCategory  young,0.0525,0.502392,0.502392,525,1045,1045,?a
?a  ageCategory  young  ?a  comorbidity  Cardiopathy   ,?a  sex  female,0.1061,0.502367,0.502367,1061,2112,2112,?a
?a  drug  Afatinib  ?a  drug  Nivolumab   ,?a  ageCategory  young,0.0433,0.50232,0.50232,433,862,862,?a
?a  drug  Cisplatin  ?a  drug  Vinorelbine   ,?a  sex  female,0.0459,0.502188,0.502188,459,914,914,?a
?a  sex  male   ,?a  hasRelapse  No,0.2541,0.502174,0.502174,2541,5060,5060,?a
?a  comorbidity  Depression   ,?a  hasRelapse  No,0.2129,0.502123,0.502123,2129,4240,4240,?a
?a  comorbidity  Cardiopathy  ?a  drug  Nivolumab   ,?a  hasRelapse  No,0.0717,0.502101,0.502101,717,1428,1428,?a
?a  comorbidity  Depression  ?a  sex  male   ,?a  hasRelapse  Yes,0.108,0.502092,0.502092,1080,2151,2151,?a
?a  ageCategory  young  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.0614,0.502044,0.502044,614,1223,1223,?a
?a  comorbidity  Depression  ?a  drug  Vinorelbine   ,?a  ageCategory  old,0.0747,0.502016,0.502016,747,1488,1488,?a
?a  hasRelapse  Yes   ,?a  ageCategory  young,0.2517,0.501994,0.501994,2517,5014,5014,?a
?a  drug  Vinorelbine   ,?a  ageCategory  old,0.1779,0.501975,0.501975,1779,3544,3544,?a
?a  ageCategory  young  ?a  comorbidity  Cardiopathy   ,?a  hasRelapse  No,0.106,0.501894,0.501894,1060,2112,2112,?a
?a  comorbidity  Diabetes_Mellitus  ?a  hasRelapse  Yes   ,?a  sex  female,0.1063,0.501889,0.501889,1063,2118,2118,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  ageCategory  young,0.2128,0.501887,0.501887,2128,4240,4240,?a
?a  biomarker  EGFR_Positive   ,?a  hasRelapse  Yes,0.1461,0.501717,0.501717,1461,2912,2912,?a
?a  drug  Cisplatin  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.0442,0.501703,0.501703,442,881,881,?a
?a  drug  Afatinib  ?a  drug  Vinorelbine   ,?a  ageCategory  young,0.046,0.501636,0.501636,460,917,917,?a
?a  smokingHabit  Unknown   ,?a  ageCategory  old,0.1231,0.50163,0.50163,1231,2454,2454,?a
?a  comorbidity  Depression   ,?a  ageCategory  old,0.2126,0.501415,0.501415,2126,4240,4240,?a
?a  biomarker  ALK_Positive  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.0544,0.501382,0.501382,544,1085,1085,?a
?a  comorbidity  Others  ?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.0576,0.501305,0.501305,576,1149,1149,?a
?a  drug  Carboplatin   ,?a  ageCategory  old,0.1732,0.501302,0.501302,1732,3455,3455,?a
?a  biomarker  Unknown  ?a  drug  Vinorelbine   ,?a  ageCategory  young,0.0585,0.501285,0.501285,585,1167,1167,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  young,0.0396,0.501266,0.501266,396,790,790,?a
?a  biomarker  Unknown   ,?a  ageCategory  young,0.1639,0.501223,0.501223,1639,3270,3270,?a
?a  drug  Nivolumab  ?a  smokingHabit  Unknown   ,?a  hasRelapse  Yes,0.0411,0.50122,0.50122,411,820,820,?a
?a  hasRelapse  No  ?a  smokingHabit  Unknown   ,?a  ageCategory  young,0.0625,0.501203,0.501203,625,1247,1247,?a
?a  drug  Vinorelbine   ,?a  hasRelapse  Yes,0.1776,0.501129,0.501129,1776,3544,3544,?a
?a  comorbidity  Depression  ?a  comorbidity  Diabetes_Mellitus   ,?a  hasRelapse  Yes,0.0687,0.501094,0.501094,687,1371,1371,?a
?a  drug  Nivolumab   ,?a  hasRelapse  No,0.168,0.501044,0.501044,1680,3353,3353,?a
?a  comorbidity  Cardiopathy   ,?a  hasRelapse  No,0.2102,0.500953,0.500953,2102,4196,4196,?a
?a  biomarker  Unknown   ,?a  sex  female,0.1638,0.500917,0.500917,1638,3270,3270,?a
?a  sex  female  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.0613,0.500817,0.500817,613,1224,1224,?a
?a  ageCategory  young   ,?a  sex  male,0.2493,0.500804,0.500804,2493,4978,4978,?a
?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.1305,0.500767,0.500767,1305,2606,2606,?a
?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.1305,0.500767,0.500767,1305,2606,2606,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Afatinib   ,?a  hasRelapse  No,0.0753,0.500665,0.500665,753,1504,1504,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.0513,0.500488,0.500488,513,1025,1025,?a
?a  comorbidity  Others  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.0524,0.500478,0.500478,524,1047,1047,?a
?a  comorbidity  Others  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.0527,0.500475,0.500475,527,1053,1053,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  hasRelapse  No,0.2122,0.500472,0.500472,2122,4240,4240,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.0564,0.500444,0.500444,564,1127,1127,?a
?a  ageCategory  old  ?a  comorbidity  Cardiopathy   ,?a  hasRelapse  Yes,0.1042,0.5,0.5,1042,2084,2084,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  ageCategory  young,0.0396,0.5,0.5,396,792,792,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  ageCategory  old,0.0396,0.5,0.5,396,792,792,?a
?a  comorbidity  Diabetes_Mellitus  ?a  sex  female   ,?a  ageCategory  old,0.1045,0.499761,0.499761,1045,2091,2091,?a
?a  hasRelapse  Yes  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.065,0.499616,0.499616,650,1301,1301,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  hasRelapse  Yes,0.2118,0.499528,0.499528,2118,4240,4240,?a
?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.1301,0.499233,0.499233,1301,2606,2606,?a
?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  Yes,0.1301,0.499233,0.499233,1301,2606,2606,?a
?a  ageCategory  young   ,?a  sex  female,0.2485,0.499196,0.499196,2485,4978,4978,?a
?a  biomarker  Unknown   ,?a  sex  male,0.1632,0.499083,0.499083,1632,3270,3270,?a
?a  comorbidity  Cardiopathy   ,?a  hasRelapse  Yes,0.2094,0.499047,0.499047,2094,4196,4196,?a
?a  drug  Nivolumab   ,?a  hasRelapse  Yes,0.1673,0.498956,0.498956,1673,3353,3353,?a
?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.1768,0.498871,0.498871,1768,3544,3544,?a
?a  drug  Vinorelbine  ?a  smokingHabit  NonSmoker   ,?a  sex  female,0.0431,0.498843,0.498843,431,864,864,?a
?a  drug  Afatinib  ?a  drug  Cisplatin   ,?a  sex  female,0.0422,0.498818,0.498818,422,846,846,?a
?a  drug  Carboplatin  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.0418,0.498807,0.498807,418,838,838,?a
?a  biomarker  Unknown   ,?a  ageCategory  old,0.1631,0.498777,0.498777,1631,3270,3270,?a
?a  drug  Carboplatin   ,?a  ageCategory  young,0.1723,0.498698,0.498698,1723,3455,3455,?a
?a  biomarker  Unknown  ?a  drug  Cisplatin   ,?a  hasRelapse  Yes,0.0572,0.498692,0.498692,572,1147,1147,?a
?a  comorbidity  Depression   ,?a  ageCategory  young,0.2114,0.498585,0.498585,2114,4240,4240,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Others   ,?a  hasRelapse  No,0.0655,0.498478,0.498478,655,1314,1314,?a
?a  smokingHabit  Unknown   ,?a  ageCategory  young,0.1223,0.49837,0.49837,1223,2454,2454,?a
?a  biomarker  EGFR_Positive   ,?a  hasRelapse  No,0.1451,0.498283,0.498283,1451,2912,2912,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  ageCategory  old,0.2112,0.498113,0.498113,2112,4240,4240,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.0512,0.498054,0.498054,512,1028,1028,?a
?a  drug  Vinorelbine   ,?a  ageCategory  young,0.1765,0.498025,0.498025,1765,3544,3544,?a
?a  hasRelapse  Yes   ,?a  ageCategory  old,0.2497,0.498006,0.498006,2497,5014,5014,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  Unknown   ,?a  sex  female,0.0364,0.497948,0.497948,364,731,731,?a
?a  comorbidity  Depression   ,?a  hasRelapse  Yes,0.2111,0.497877,0.497877,2111,4240,4240,?a
?a  sex  male   ,?a  hasRelapse  Yes,0.2519,0.497826,0.497826,2519,5060,5060,?a
?a  drug  Cisplatin  ?a  drug  Nivolumab   ,?a  sex  female,0.0446,0.497768,0.497768,446,896,896,?a
?a  hasRelapse  Yes   ,?a  sex  female,0.2495,0.497607,0.497607,2495,5014,5014,?a
?a  biomarker  EGFR_Positive  ?a  drug  Afatinib   ,?a  sex  female,0.0516,0.497589,0.497589,516,1037,1037,?a
?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.1235,0.497382,0.497382,1235,2483,2483,?a
?a  comorbidity  Others   ,?a  hasRelapse  No,0.2141,0.497329,0.497329,2141,4305,4305,?a
?a  ageCategory  old   ,?a  hasRelapse  Yes,0.2497,0.497212,0.497212,2497,5022,5022,?a
?a  hasRelapse  No  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.0614,0.497166,0.497166,614,1235,1235,?a
?a  sex  female   ,?a  ageCategory  old,0.2455,0.496964,0.496964,2455,4940,4940,?a
?a  comorbidity  Depression  ?a  hasRelapse  No   ,?a  sex  female,0.1058,0.496947,0.496947,1058,2129,2129,?a
?a  comorbidity  Others   ,?a  sex  male,0.2139,0.496864,0.496864,2139,4305,4305,?a
?a  drug  Afatinib  ?a  hasRelapse  No   ,?a  ageCategory  young,0.0858,0.496815,0.496815,858,1727,1727,?a
?a  comorbidity  Cardiopathy   ,?a  ageCategory  old,0.2084,0.496663,0.496663,2084,4196,4196,?a
?a  hasRelapse  No  ?a  smokingHabit  NonSmoker   ,?a  sex  female,0.0613,0.496356,0.496356,613,1235,1235,?a
?a  biomarker  EGFR_Positive   ,?a  sex  female,0.1445,0.496223,0.496223,1445,2912,2912,?a
?a  biomarker  ALK_Positive   ,?a  ageCategory  young,0.1497,0.496024,0.496024,1497,3018,3018,?a
?a  smokingHabit  Unknown   ,?a  sex  female,0.1217,0.495925,0.495925,1217,2454,2454,?a
?a  drug  Cisplatin   ,?a  ageCategory  young,0.1743,0.495875,0.495875,1743,3515,3515,?a
?a  comorbidity  Depression  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.0517,0.495686,0.495686,517,1043,1043,?a
?a  drug  Afatinib   ,?a  ageCategory  young,0.1734,0.495429,0.495429,1734,3500,3500,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.0356,0.495132,0.495132,356,719,719,?a
?a  sex  female   ,?a  hasRelapse  No,0.2445,0.494939,0.494939,2445,4940,4940,?a
?a  comorbidity  Depression  ?a  drug  Cisplatin   ,?a  sex  female,0.0733,0.494936,0.494936,733,1481,1481,?a
?a  ageCategory  young  ?a  drug  Afatinib   ,?a  hasRelapse  No,0.0858,0.49481,0.49481,858,1734,1734,?a
?a  ageCategory  old  ?a  comorbidity  Diabetes_Mellitus   ,?a  sex  female,0.1045,0.494792,0.494792,1045,2112,2112,?a
?a  drug  Nivolumab  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.0423,0.494737,0.494737,423,855,855,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Afatinib   ,?a  sex  female,0.0744,0.494681,0.494681,744,1504,1504,?a
?a  ageCategory  young   ,?a  hasRelapse  No,0.2461,0.494375,0.494375,2461,4978,4978,?a
?a  biomarker  ROS1_Positive   ,?a  ageCategory  old,0.1483,0.494169,0.494169,1483,3001,3001,?a
?a  biomarker  ROS1_Positive  ?a  drug  Carboplatin   ,?a  sex  female,0.0506,0.494141,0.494141,506,1024,1024,?a
?a  drug  Carboplatin   ,?a  hasRelapse  Yes,0.1707,0.494067,0.494067,1707,3455,3455,?a
?a  biomarker  ALK_Positive   ,?a  hasRelapse  No,0.149,0.493704,0.493704,1490,3018,3018,?a
?a  hasRelapse  No   ,?a  ageCategory  young,0.2461,0.493582,0.493582,2461,4986,4986,?a
?a  biomarker  Unknown   ,?a  hasRelapse  Yes,0.1614,0.493578,0.493578,1614,3270,3270,?a
?a  drug  Afatinib   ,?a  hasRelapse  No,0.1727,0.493429,0.493429,1727,3500,3500,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Depression   ,?a  sex  female,0.0622,0.493259,0.493259,622,1261,1261,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  sex  female,0.2091,0.49316,0.49316,2091,4240,4240,?a
?a  smokingHabit  NonSmoker   ,?a  sex  female,0.1224,0.492952,0.492952,1224,2483,2483,?a
?a  comorbidity  Depression   ,?a  sex  female,0.2089,0.492689,0.492689,2089,4240,4240,?a
?a  sex  male   ,?a  ageCategory  young,0.2493,0.492688,0.492688,2493,5060,5060,?a
?a  biomarker  ?d  ?a  stage  ?d   ,?a  sex  male,0.0101,0.492683,0.492683,101,205,205,?a
?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.1223,0.492549,0.492549,1223,2483,2483,?a
?a  biomarker  ROS1_Positive   ,?a  hasRelapse  No,0.1477,0.492169,0.492169,1477,3001,3001,?a
?a  smokingHabit  Unknown   ,?a  hasRelapse  Yes,0.1207,0.49185,0.49185,1207,2454,2454,?a
?a  drug  Afatinib  ?a  drug  Vinorelbine   ,?a  sex  female,0.0451,0.491821,0.491821,451,917,917,?a
?a  biomarker  ROS1_Positive  ?a  drug  Cisplatin   ,?a  sex  female,0.0535,0.491728,0.491728,535,1088,1088,?a
?a  drug  Cisplatin   ,?a  sex  female,0.1728,0.491607,0.491607,1728,3515,3515,?a
?a  drug  Afatinib  ?a  hasRelapse  No   ,?a  sex  female,0.0848,0.491025,0.491025,848,1727,1727,?a
?a  drug  Afatinib   ,?a  sex  female,0.1718,0.490857,0.490857,1718,3500,3500,?a
?a  hasRelapse  No   ,?a  sex  female,0.2445,0.490373,0.490373,2445,4986,4986,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.0489,0.48998,0.48998,489,998,998,?a
?a  drug  Vinorelbine   ,?a  sex  female,0.1736,0.489842,0.489842,1736,3544,3544,?a
?a  comorbidity  Cardiopathy  ?a  drug  Carboplatin   ,?a  sex  female,0.0694,0.489767,0.489767,694,1417,1417,?a
?a  drug  Carboplatin   ,?a  sex  female,0.1692,0.489725,0.489725,1692,3455,3455,?a
?a  ageCategory  old   ,?a  sex  female,0.2455,0.488849,0.488849,2455,5022,5022,?a
?a  drug  Cisplatin   ,?a  hasRelapse  Yes,0.1716,0.488193,0.488193,1716,3515,3515,?a
?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.1199,0.487993,0.487993,1199,2457,2457,?a
?a  comorbidity  Cardiopathy   ,?a  sex  female,0.2046,0.487607,0.487607,2046,4196,4196,?a
?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.1198,0.487586,0.487586,1198,2457,2457,?a
?a  biomarker  ROS1_Positive   ,?a  sex  female,0.1463,0.487504,0.487504,1463,3001,3001,?a
?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  young,0.1269,0.486953,0.486953,1269,2606,2606,?a
?a  drug  Nivolumab   ,?a  ageCategory  young,0.1632,0.486728,0.486728,1632,3353,3353,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  hasRelapse  Yes,0.0385,0.486111,0.486111,385,792,792,?a
?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  old,0.1194,0.485958,0.485958,1194,2457,2457,?a
?a  comorbidity  Others   ,?a  ageCategory  young,0.2088,0.485017,0.485017,2088,4305,4305,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  sex  female,0.0384,0.484848,0.484848,384,792,792,?a
?a  biomarker  ALK_Positive   ,?a  sex  female,0.1459,0.483433,0.483433,1459,3018,3018,?a
?a  drug  Nivolumab   ,?a  sex  female,0.1618,0.482553,0.482553,1618,3353,3353,?a
?a  biomarker  EGFR_Positive   ,?a  ageCategory  young,0.1391,0.477679,0.477679,1391,2912,2912,?a
?a  drug  Carboplatin  ?a  drug  Vinorelbine   ,?a  comorbidity  Others,0.025499,0.466595,0.466595,433,928,928,?a
?a  drug  Afatinib  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.02438,0.465169,0.465169,414,890,890,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  Unknown   ,?a  comorbidity  Diabetes_Mellitus,0.021082,0.464332,0.464332,358,771,771,?a
?a  drug  Cisplatin  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Cardiopathy,0.024439,0.460599,0.460599,415,901,901,?a
?a  biomarker  ALK_Positive  ?a  biomarker  EGFR_Positive   ,?a  comorbidity  Diabetes_Mellitus,0.019375,0.458856,0.458856,329,717,717,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.01908,0.456338,0.456338,324,710,710,?a
?a  biomarker  ALK_Positive  ?a  sex  female   ,?a  comorbidity  Others,0.039103,0.455106,0.455106,664,1459,1459,?a
?a  biomarker  EGFR_Positive  ?a  drug  Carboplatin   ,?a  comorbidity  Diabetes_Mellitus,0.026441,0.453535,0.453535,449,990,990,?a
?a  drug  Vinorelbine  ?a  sex  female   ,?a  comorbidity  Others,0.046346,0.453341,0.453341,787,1736,1736,?a
?a  drug  Vinorelbine  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.025028,0.453092,0.453092,425,938,938,?a
?a  drug  Carboplatin  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Depression,0.022319,0.452267,0.452267,379,838,838,?a
?a  ageCategory  old  ?a  sex  female   ,?a  comorbidity  Others,0.065367,0.452138,0.452138,1110,2455,2455,?a
?a  sex  female  ?a  smokingHabit  Unknown   ,?a  comorbidity  Others,0.032389,0.451931,0.451931,550,1217,1217,?a
?a  biomarker  Unknown  ?a  drug  Afatinib   ,?a  comorbidity  Depression,0.031035,0.451585,0.451585,527,1167,1167,?a
?a  ageCategory  old  ?a  biomarker  Unknown   ,?a  comorbidity  Others,0.043343,0.451257,0.451257,736,1631,1631,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Others,0.020317,0.45098,0.45098,345,765,765,?a
?a  drug  Vinorelbine  ?a  smokingHabit  Unknown   ,?a  comorbidity  Diabetes_Mellitus,0.022731,0.450408,0.450408,386,857,857,?a
?a  biomarker  Unknown  ?a  drug  Carboplatin   ,?a  comorbidity  Depression,0.029916,0.449956,0.449956,508,1129,1129,?a
?a  biomarker  ALK_Positive  ?a  drug  Carboplatin   ,?a  comorbidity  Others,0.028208,0.449765,0.449765,479,1065,1065,?a
?a  ageCategory  old  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.035392,0.449514,0.449514,601,1337,1337,?a
?a  biomarker  EGFR_Positive  ?a  drug  Afatinib   ,?a  comorbidity  Diabetes_Mellitus,0.027442,0.449373,0.449373,466,1037,1037,?a
?a  biomarker  EGFR_Positive  ?a  drug  Vinorelbine   ,?a  comorbidity  Others,0.026912,0.448479,0.448479,457,1019,1019,?a
?a  hasRelapse  Yes  ?a  smokingHabit  Unknown   ,?a  comorbidity  Others,0.031859,0.448219,0.448219,541,1207,1207,?a
?a  drug  Carboplatin  ?a  sex  female   ,?a  comorbidity  Others,0.044638,0.447991,0.447991,758,1692,1692,?a
?a  biomarker  ALK_Positive  ?a  drug  Vinorelbine   ,?a  comorbidity  Others,0.02862,0.447926,0.447926,486,1085,1085,?a
?a  biomarker  EGFR_Positive  ?a  sex  male   ,?a  comorbidity  Diabetes_Mellitus,0.03869,0.447853,0.447853,657,1467,1467,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.020729,0.447837,0.447837,352,786,786,?a
?a  ageCategory  young  ?a  biomarker  Unknown   ,?a  comorbidity  Cardiopathy,0.043166,0.447224,0.447224,733,1639,1639,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.020788,0.446835,0.446835,353,790,790,?a
?a  drug  Afatinib  ?a  drug  Nivolumab   ,?a  comorbidity  Cardiopathy,0.022672,0.446636,0.446636,385,862,862,?a
?a  drug  Cisplatin  ?a  smokingHabit  Unknown   ,?a  comorbidity  Depression,0.023144,0.446591,0.446591,393,880,880,?a
?a  ageCategory  young  ?a  drug  Cisplatin   ,?a  comorbidity  Cardiopathy,0.045816,0.446357,0.446357,778,1743,1743,?a
?a  biomarker  Unknown  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Depression,0.021789,0.446321,0.446321,370,829,829,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.019787,0.446215,0.446215,336,753,753,?a
?a  biomarker  Unknown  ?a  drug  Vinorelbine   ,?a  comorbidity  Cardiopathy,0.030622,0.445587,0.445587,520,1167,1167,?a
?a  drug  Cisplatin  ?a  drug  Nivolumab   ,?a  comorbidity  Cardiopathy,0.023497,0.445313,0.445313,399,896,896,?a
?a  ageCategory  old  ?a  biomarker  ROS1_Positive   ,?a  comorbidity  Others,0.038867,0.445044,0.445044,660,1483,1483,?a
?a  ageCategory  young  ?a  drug  Nivolumab   ,?a  comorbidity  Diabetes_Mellitus,0.042754,0.444853,0.444853,726,1632,1632,?a
?a  hasRelapse  Yes  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.032684,0.444712,0.444712,555,1248,1248,?a
?a  drug  Nivolumab  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.022378,0.444444,0.444444,380,855,855,?a
?a  biomarker  EGFR_Positive  ?a  drug  Cisplatin   ,?a  comorbidity  Diabetes_Mellitus,0.02703,0.444337,0.444337,459,1033,1033,?a
?a  biomarker  ROS1_Positive  ?a  sex  female   ,?a  comorbidity  Others,0.038278,0.444293,0.444293,650,1463,1463,?a
?a  ageCategory  old  ?a  hasRelapse  Yes   ,?a  comorbidity  Others,0.065308,0.444133,0.444133,1109,2497,2497,?a
?a  drug  Carboplatin  ?a  hasRelapse  No   ,?a  comorbidity  Depression,0.045698,0.443936,0.443936,776,1748,1748,?a
?a  drug  Nivolumab  ?a  smokingHabit  Unknown   ,?a  comorbidity  Diabetes_Mellitus,0.021436,0.443902,0.443902,364,820,820,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.020022,0.443864,0.443864,340,766,766,?a
?a  drug  Vinorelbine  ?a  hasRelapse  Yes   ,?a  comorbidity  Others,0.046405,0.443694,0.443694,788,1776,1776,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Depression,0.01855,0.443662,0.443662,315,710,710,?a
?a  ageCategory  old  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.032919,0.443651,0.443651,559,1260,1260,?a
?a  drug  Afatinib  ?a  smokingHabit  Unknown   ,?a  comorbidity  Diabetes_Mellitus,0.022672,0.443548,0.443548,385,868,868,?a
?a  ageCategory  old  ?a  drug  Nivolumab   ,?a  comorbidity  Others,0.044933,0.443347,0.443347,763,1721,1721,?a
?a  drug  Vinorelbine  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.022555,0.443287,0.443287,383,864,864,?a
?a  biomarker  ROS1_Positive  ?a  drug  Vinorelbine   ,?a  comorbidity  Others,0.027796,0.443192,0.443192,472,1065,1065,?a
?a  drug  Cisplatin  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.02226,0.443142,0.443142,378,853,853,?a
?a  drug  Carboplatin  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Others,0.022201,0.443008,0.443008,377,851,851,?a
?a  hasRelapse  Yes  ?a  sex  female   ,?a  comorbidity  Others,0.065073,0.442886,0.442886,1105,2495,2495,?a
?a  hasRelapse  No  ?a  smokingHabit  Unknown   ,?a  comorbidity  Diabetes_Mellitus,0.032507,0.442662,0.442662,552,1247,1247,?a
?a  biomarker  EGFR_Positive  ?a  hasRelapse  No   ,?a  comorbidity  Diabetes_Mellitus,0.037807,0.442453,0.442453,642,1451,1451,?a
?a  sex  male  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Cardiopathy,0.032801,0.442415,0.442415,557,1259,1259,?a
?a  biomarker  Unknown  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Others,0.021141,0.442118,0.442118,359,812,812,?a
